year,zone,subprefecture_name_original,subprefecture_name,district_name_original,district_name,population
2016,East_1,Aricanduva/Formosa/Carrão,ARICANDUVA_FORMOSA_CARRAO,Vila Formosa,Vila_Formosa,94760
2016,East_1,Penha,PENHA,Vila Matilde,Vila_Matilde,105511
2016,East_1,Vila Prudente,VILA_PRUDENTE,Vila Prudente,Vila_Prudente,105962
2016,East_2,Itaquera,ITAQUERA,Cidade Líder,Cidade_Lider,132481
2016,East_2,Cidade Tiradentes,CIDADE_TIRADENTES,Cidade Tiradentes,Cidade_Tiradentes,204354
2016,East_2,Ermelino Matarazzo,ERMELINO_MATARAZZO,Ermelino Matarazzo,Ermelino_Matarazzo,113799
2016,East_2,Guaianases,GUAIANASES,Guaianases,Guaianases,107270
2016,East_2,São Mateus,SAO_MATEUS,Iguatemi,Iguatemi,138949
2016,East_2,Itaim Paulista,ITAIM_PAULISTA,Itaim Paulista,Itaim_Paulista,216478
2016,East_2,Itaquera,ITAQUERA,Itaquera,Itaquera,209470
2016,East_2,São Miguel,SAO_MIGUEL,Jardim Helena,Jardim_Helena,133240
2016,East_2,Itaquera,ITAQUERA,José Bonifácio,Jose_Bonifacio,127010
2016,East_2,Guaianases,GUAIANASES,Lajeado,Lajeado,165802
2016,East_2,Itaquera,ITAQUERA,Parque do Carmo,Parque_do_Carmo,72057
2016,East_2,Ermelino Matarazzo,ERMELINO_MATARAZZO,Ponte Rasa,Ponte_Rasa,93075
2016,East_2,São Mateus,SAO_MATEUS,São Mateus,Sao_Mateus,156671
2016,East_2,São Miguel,SAO_MIGUEL,São Miguel,Sao_Miguel,87682
2016,East_2,São Mateus,SAO_MATEUS,São Rafael,Sao_Rafael,146741
2016,East_2,Itaim Paulista,ITAIM_PAULISTA,Vila Curuçá,Vila_Curuca,146220
2016,East_2,São Miguel,SAO_MIGUEL,Vila Jacuí,Vila_Jacui,139374
2016,North_1,Jaçanã/Tremembé,JACANA_TREMEMBE,Jaçanã,Jacana,91504
2016,North_1,Santana/Tucuruvi,SANTANA_TUCURUVI,Mandaqui,Mandaqui,107082
2016,North_1,Santana/Tucuruvi,SANTANA_TUCURUVI,Santana,Santana,118877
2016,North_1,Jaçanã/Tremembé,JACANA_TREMEMBE,Tremembé,Tremembe,198081
2016,North_1,Santana/Tucuruvi,SANTANA_TUCURUVI,Tucuruvi,Tucuruvi,100243
2016,North_1,Vila Maria/Vila Guilherme,VILA_MARIA_VILA_GUILHERME,Vila Guilherme,Vila_Guilherme,54155
2016,North_1,Vila Maria/Vila Guilherme,VILA_MARIA_VILA_GUILHERME,Vila Maria,Vila_Maria,111526
2016,North_1,Vila Maria/Vila Guilherme,VILA_MARIA_VILA_GUILHERME,Vila Medeiros,Vila_Medeiros,123677
2016,North_2,Perus,PERUS,Anhanguera,Anhanguera,70593
2016,North_2,Freguesia/Brasilândia,FREGUESIA_BRASILANDIA,Brasilândia,Brasilandia,256167
2016,North_2,Casa Verde/Cachoeirinha,CASA_VERDE_CACHOEIRINHA,Cachoeirinha,Cachoeirinha,144684
2016,North_2,Casa Verde/Cachoeirinha,CASA_VERDE_CACHOEIRINHA,Casa Verde,Casa_Verde,84263
2016,North_2,Freguesia/Brasilândia,FREGUESIA_BRASILANDIA,Freguesia do Ó,Freguesia_do_O,141733
2016,North_2,Pirituba/Jaraguá,PIRITUBA_JARAGUA,Jaraguá,Jaragua,199000
2016,North_2,Casa Verde/Cachoeirinha,CASA_VERDE_CACHOEIRINHA,Limão,Limao,82369
2016,North_2,Perus,PERUS,Perus,Perus,84448
2016,North_2,Pirituba/Jaraguá,PIRITUBA_JARAGUA,Pirituba,Pirituba,175685
2016,North_2,Pirituba/Jaraguá,PIRITUBA_JARAGUA,São Domingos,Sao_Domingos,87804
2016,West,,NAO_IDENTIFICADO,OESTE,OESTE,1067571
2016,West,Pinheiros,PINHEIROS,Alto de Pinheiros,Alto_de_Pinheiros,41081
2016,West,Lapa,LAPA,Barra Funda,Barra_Funda,23775
2016,West,Butantã,BUTANTA,Butantã,Butanta,53600
2016,West,Pinheiros,PINHEIROS,Itaim Bibi,Itaim_Bibi,97445
2016,West,Lapa,LAPA,Jaguara,Jaguara,25014
2016,West,Lapa,LAPA,Jaguaré,Jaguare,52880
